8000,28200,470,4676
9800,52200,450,4700
9200,61600,550,4700
4700,35800,1390,4704
7100,26200,900,4676
5500,33800,460,4704
9000,56400,610,4708
4600,40000,530,4700
4600,20600,890,4672
5400,25000,450,4688
11100,29200,460,4708
9300,69800,510,4696
4600,41200,1330,4700
6200,20400,640,4684
5000,37000,460,4692
9300,21600,610,4708
4500,21600,1440,4696
6100,21200,880,4688
15300,28200,460,4688
12600,63800,730,4708
6100,41600,1200,4696
6100,21600,1360,4716
6700,28200,470,4672
13100,25200,480,4708
8700,39400,750,4708
4100,27200,1630,4692
6300,23000,930,4692
10600,30400,450,4684
13800,66600,720,4708
8100,42000,550,4696
5000,21600,1130,4696
7400,27800,480,4672
10700,27200,460,4708
8800,61200,690,4700
4500,34800,1390,4696
5700,21600,900,4680
13300,27200,460,4704
8700,56000,560,4708
4700,42200,1290,4700
6500,21600,900,4672
10700,20400,570,4692
9200,64800,660,4708
4600,21000,1290,4692
5900,22200,910,4692
5100,29200,460,4688
12900,62200,540,4704
6700,39600,490,4700
4600,22000,1410,4704
7100,27800,840,4676
12400,25000,480,4688
12200,64200,750,4708
4700,29400,570,4688
5800,20400,910,4704
15300,31400,470,4708
9500,66600,690,4704
4300,40000,1430,4700
7000,21600,900,4688
13000,25200,460,4696
9200,59600,650,4708
4600,43200,1650,4696
6200,20600,820,4684
13800,24600,490,4688
9300,63200,750,4708
4400,25200,1070,4696
6000,21600,920,4708
10400,29400,430,4688
13500,68800,570,4708
8500,39600,550,4704
5000,24000,1130,4704
7300,30400,860,4672
10400,28200,470,4708
9400,73400,720,4708
4800,35000,290,4692
5200,22200,910,4676
4100,28800,460,4684
11700,57000,460,4700
8900,60200,570,4700
4400,32800,1790,4704
7300,25000,940,4672
5700,34400,440,4708
9300,57400,630,4708
4700,41200,540,4692
4500,21600,890,4672
10200,35000,460,4692
9200,65600,590,4700
4700,44600,1550,4696
6200,21200,1270,4688
5500,28600,610,4676
12800,25800,560,4708
6700,67800,650,4704
4600,21000,1340,4688
5900,21600,880,4684
13100,32400,470,4688
12800,62600,610,4704
6000,42000,1010,4696
5900,22000,1380,4708
6600,29400,850,4676
17900,22600,490,4708
8400,66600,740,4708
4600,22600,1570,4692
6400,22000,930,4672
10600,27200,450,4688
13900,72400,680,4708
7900,42000,560,4700
5100,22600,1170,4704
7500,27800,460,4676
10900,26800,450,4708
8900,58400,720,4704
4700,37000,1420,4696
5100,22200,920,4680
14000,33800,430,4704
9100,52400,540,4708
4600,42200,980,4704
6100,22200,920,4672
5100,35400,480,4688
11500,26800,630,4708
4900,42200,520,4696
4700,22000,1460,4700
6700,22600,620,4684
9200,25200,470,4692
9200,65800,690,4708
4700,43200,1730,4696
6100,21600,1280,4676
5100,29400,470,4684
13000,25800,600,4708
6300,41200,690,4692
4400,22000,1360,4696
6300,23000,800,4668
14200,62000,480,4704
8900,58000,340,4708
4800,25200,1630,4712
7300,28800,880,4664
9700,30800,530,4684
13600,71200,720,4704
5500,42200,580,4688
5200,22600,1000,4700
7500,30200,470,4684
16400,51200,450,4700
8800,64600,580,4704
4800,36800,1390,4700
7200,26200,920,4676
2700,37000,590,4684
11600,58600,700,4704
5400,42200,620,4696
4800,23000,900,4704
7000,26800,460,4688
13800,26800,460,4704
9000,54400,550,4704
4800,42600,940,4696
6200,22600,930,4672
6000,37000,520,4688
9700,19400,650,4704
5300,43200,530,4700
4900,22600,1250,4700
5500,20600,650,4676
9400,25200,480,4692
8800,65600,700,4704
5000,47800,1450,4688
6800,22600,980,4684
5400,33400,470,4680
13300,16400,600,4700
5900,41600,610,4700
4700,21600,1420,4696
6800,20600,870,4664
13700,26800,460,4684
9400,67800,870,4708
5700,46800,1090,4692
6900,23000,1350,4704
6400,28200,460,4676
17800,25800,540,4708
7800,39600,780,4704
4300,26200,1230,4688
8000,24000,940,4668
12000,51200,490,4708
9000,71200,550,4708
5300,38400,1380,4704
6800,23600,910,4680
13800,28800,610,4704
4900,54400,540,4696
4300,21000,870,4700
5800,31200,500,4672
13000,25200,580,4696
8500,44000,750,4700
4800,24000,1230,4692
7800,23600,860,4668
11200,58600,530,4708
8900,60600,550,4708
4700,32800,1440,4700
7400,28200,920,4676
5800,33400,600,4684
10000,61600,680,4700
5700,42600,370,4700
4900,23600,920,4704
7200,26800,460,4680
14300,23000,450,4704
9200,68800,550,4708
4800,41200,1380,4692

