5400,19600,590,4684
6900,21000,390,4684
6700,34800,570,4696
4400,30400,650,4684
6000,22600,1120,4684
5700,29200,510,4680
10500,31200,500,4700
6700,31400,550,4696
4200,23000,330,4696
6300,19400,630,4688
8400,29400,420,4692
6500,44800,470,4684
4100,39600,770,4696
7300,22600,560,4684
4700,35000,430,4688
7800,24000,550,4700
4500,20400,980,4688
5200,20400,720,4680
5500,20400,400,4688
10800,35000,600,4692
3900,28200,680,4688
7800,25800,1080,4696
5900,29200,480,4696
9700,20400,440,4696
6200,55400,610,4696
3800,27600,510,4696
5100,20600,690,4692
1800,27200,570,4684
7000,41200,540,4684
4800,30800,760,4688
6300,22600,740,4708
5400,27600,470,4684
6400,44600,570,4696
3900,31800,710,4684
4200,20600,1160,4684
4100,26600,650,4676
6700,21600,560,4688
8600,29400,600,4688
4600,24200,710,4688
7900,29200,470,4708
3100,20400,450,4696
4600,29400,450,4688
3900,21000,680,4684
7500,26800,460,4684
6400,35000,600,4692
5200,35400,680,4688
8300,22000,1220,4684
5200,31800,420,4684
4900,20600,460,4696
7100,34800,600,4692
4800,26200,340,4688
6000,21600,660,4696
4900,26800,460,4688
6400,46600,520,4696
6200,34800,780,4684
6000,21000,690,4692
9700,25200,590,4688
6100,25000,520,4692
6000,18400,770,4692
4800,25000,440,4680
6700,48800,570,4696
4200,31400,450,4680
4700,20600,670,4692
5200,26800,490,4676
6500,24200,460,4696
6600,40600,450,4684
4000,29800,720,4696
5800,20600,600,4684
4800,25200,420,4684
7000,21600,640,4692
4200,20600,1020,4692
7700,21600,630,4692
6900,22000,440,4684
12900,31800,560,4696
6600,31400,430,4688
5700,23600,850,4696
5900,28200,410,4704
6400,23000,480,4692
6900,52400,570,4696
6300,31800,670,4688
6000,24000,680,4684
6200,28200,470,4684
3300,30400,590,4696
4400,50800,450,4688
4300,20600,730,4700
5500,20600,450,4688
6300,21000,680,4696
10500,38400,670,4688
4500,21000,1100,4692
5500,26200,670,4684
7100,20600,450,4684
7300,28600,460,4688
4800,20400,330,4692
5300,26200,440,4676
6000,24000,600,4696
4400,29800,440,4692
5300,20400,680,4696
4800,26800,580,4676
7100,22600,470,4684
5900,25200,570,4700
4500,32400,760,4688
5800,18600,650,4676
7100,20600,460,4688
6200,35800,600,4696
5800,30800,730,4688
5700,25200,680,4684
7200,25200,460,4692
8600,27200,580,4692
5900,55400,420,4688
4600,21200,930,4696
5100,25200,410,4684
9800,22000,630,4696
6100,43200,510,4684
4600,24200,1210,4696
4900,20600,570,4680
6700,20400,410,4684
6800,36400,530,4696
4800,30800,710,4692
5700,20600,1240,4684
4200,29800,470,4684
10300,22600,690,4692
6500,36000,470,4696
4400,21600,810,4696
4400,25200,390,4684
3200,29200,580,4696
6600,51200,510,4688
4600,19600,790,4688
3900,30400,630,4688
7600,27200,610,4692
4900,32200,460,4688
5400,23000,1120,4696
5700,20400,630,4680
7600,21000,410,4684
6600,32800,450,4692
4600,25000,300,4700
6100,27200,610,4696
6400,29800,470,4696
7400,33400,730,4696
4400,39600,230,4688
4900,20600,690,4696
4400,26200,460,4688
5000,27200,610,4700
6800,44000,440,4692
4600,19600,910,4700
4500,29400,490,4672
8200,23600,640,4692
5800,36000,540,4692
4700,19600,800,4692
5500,26800,440,4692
9000,26200,480,4692
6800,35000,490,4692
4800,26600,540,4692
5700,27800,650,4692
6800,28200,490,4684
6700,46600,620,4700
5500,32800,450,4692
4200,21200,590,4684
4400,27800,460,4684
6100,22000,440,4696
6300,40000,410,4684
5000,37400,770,4700
6600,22600,630,4684
4500,32400,420,4684
7700,29400,520,4700
4500,32800,570,4688
4400,20400,1160,4688
4300,27600,600,4680
6600,21000,670,4688
5800,34800,590,4692
5000,21600,780,4688
5800,30800,460,4684
6500,21000,390,4696
5900,53000,530,4700
4300,29400,660,4700
5500,19400,690,4684
6700,21000,490,4680
6800,16000,580,4688
5700,26600,1180,4680
5300,29400,520,4684
7900,32400,550,4700
7400,30200,570,4692
4400,20400,340,4688
5800,21200,630,4688
3400,27800,410,4696
6300,37400,470,4700
4200,41200,790,4704
6800,25000,940,4684
5200,36800,410,4692
8900,31400,560,4704
4400,32400,450,4692

