 -72, 24, 100, 125,
 -50, -35, -13, 62,
 -6, -10, -118, 118,
 39, -6, -71, 81,
 5, 9, -23, 25,
 -5, 23, 69, 72,
 -48, 62, -33, 85,
 48, 18, -81, 95,
 65, -9, -60, 88,
 -80, -6, -40, 89,
 87, -56, 66, 122,
 51, 15, 232, 238,
 -103, -28, 157, 189,
 -56, 26, 39, 73,
 75, 59, 39, 103,
 29, 1, 13, 31,
 -5, -71, -56, 90,
 12, -81, -148, 169,
 48, -12, -133, 141,
 66, 26, -56, 90,
 33, 5, -67, 74,
 -41, -32, -18, 55,
 25, 35, 37, 56,
 21, 22, 49, 57,
 15, 25, 60, 66,
 24, -2, 53, 58,
 0, 16, 56, 58,
 -43, 10, 119, 126,
 -71, 50, 144, 168,
 -119, 8, -94, 151,
 -25, -58, -104, 121,
 4, -47, 31, 56,
 -45, 39, 108, 123,
 -109, 29, 57, 126,
 -23, -49, -99, 112,
 143, -47, -159, 218,
 102, 23, -97, 142,
 19, -26, -78, 84,
 -105, -78, 60, 143,
 -87, -70, 25, 114,
 -4, 1, -28, 28,
 68, 39, -54, 95,
 77, 56, -38, 102,
 62, 4, 20, 65,
 -11, -9, 44, 46,
 -5, 12, 46, 47,
 10, 30, 19, 36,
 23, 29, 15, 39,
 19, -4, 10, 21,
 -18, 15, 44, 49,
 -74, 21, 77, 108,
 -74, 27, 111, 136,
 -25, 25, 61, 70,
 46, 48, -12, 67,
 60, 23, -100, 118,
 43, -25, -91, 103,
 5, -18, -32, 37,
 -69, -49, 111, 139,
 -63, -53, 118, 143,
 -130, -62, -6, 144,
 58, 6, -110, 124,
 67, 39, -75, 107,
 20, -43, 0, 47,
 -41, -79, 34, 95,
 -11, -23, -24, 35,
 23, 4, -87, 90,
 37, 15, -66, 77,
 13, -18, -31, 38,
 0, -15, -18, 23,
 -1, -3, 25, 25,
 -23, 3, 30, 37,
 22, 8, 38, 44,
 -3, -6, 41, 41,
 -12, 2, 33, 35,
 5, 38, 9, 39,
 52, 41, 126, 142,
 -62, -32, 135, 151,
 -83, -31, 50, 101,
 -35, 18, -99, 106,
 23, 73, -96, 122,
 -78, 68, 26, 106,
 -60, -60, 64, 106,
 -153, -49, -6, 160,
 -39, -66, -30, 82,
 176, 1, -93, 199,
 160, 65, -114, 206,
 -37, -105, -14, 112,
 -71, -60, 27, 96,
 -48, -29, -5, 56,
 -15, 7, -34, 37,
 48, 52, -21, 73,
 45, 29, -7, 53,
 13, 19, 8, 24,
 0, -4, 17, 17,
 -21, 35, 62, 74,
 -38, 30, 68, 83,
 -11, 28, 62, 68,
 6, -4, -12, 14,
 -5, -2, -8, 9,
 -29, -9, 58, 65,
 -29, -1, 111, 114,
 -10, 60, 81, 101,
 7, 79, 0, 79,
 54, 47, -50, 87,
 48, -23, -40, 66,
 -137, -92, 97, 191,
 -114, -123, 33, 170,
 -36, -8, -93, 100,
 101, 108, -174, 228,
 94, 101, -132, 190,
 108, 14, -60, 124,
 25, -79, 11, 83,
 -43, -84, 24, 97,
 -2, -36, -43, 56,
 21, 6, -68, 71,
 25, -5, -48, 54,
 28, -13, -4, 31,
 -6, -1, 54, 54,
 -2, 22, 49, 53,
 -2, 37, 50, 62,
 21, 4, -25, 32,
 23, -6, -42, 48,
 14, -43, 26, 52,
 -56, -9, 89, 105,
 -43, 19, 92, 103,
 -54, 21, 74, 93,
 -14, -2, -25, 28,
 42, -4, -67, 79,
 55, 19, -34, 67,
 -64, 98, 121, 168,
 -159, -36, 114, 198,
 -116, -93, -42, 154,
 38, -35, -151, 159,
 121, 54, -136, 189,
 127, 45, -66, 150,
 72, 32, 25, 82,
 -34, -13, 15, 39,
 -50, -43, -19, 68,
 -25, -37, -15, 47,
 2, -39, 3, 39,
 28, -20, -22, 40,
 25, 19, 9, 32,
 -11, 27, 44, 52,
 1, 19, 30, 35,
 -10, 31, 21, 38,
 -34, 50, 25, 65,
 -21, -20, -14, 32,
 -20, -22, 7, 30,
 -52, 8, 57, 77,
 -35, 22, 47, 62,
 23, 42, -10, 48,
 62, 52, -66, 104,
 67, 19, -57, 89,
 44, -20, 23, 53,
 -47, -58, 141, 159,
 -112, -102, 89, 175,
 -62, -37, -23, 75,
 41, 19, -134, 141,
 68, 89, -99, 149,
 19, 16, 7, 25,
 -55, -50, 53, 91,
 -11, -14, 26, 31,
 4, 58, -26, 63,
 58, 0, -115, 128,
 27, -49, -133, 144,
 11, -33, -38, 51,
 0, 27, 28, 38,
 8, 40, 55, 68,
 -15, 21, 54, 59,
 -25, -1, 18, 30,
 0, -32, 16, 35,
 0, -5, 42, 42,
 1, 33, 87, 93,
 -18, -9, 89, 91,
 -56, -14, 79, 97,
 -77, 44, 12, 89,
 1, -14, -50, 51,
 13, -24, -31, 41,
 -87, -13, 69, 111,
 -131, -62, 88, 169,
 -71, -43, -47, 95,
 41, 34, -111, 123,
 155, 81, -76, 190,
 13, -15, -37, 41,
 -19, -49, 15, 54,
 -60, -29, 14, 68,
 10, 12, -56, 58,
 39, 11, -42, 58,
 41, 0, -39, 56,
 23, -4, -8, 24,
 16, 9, 6, 19,
 10, 0, 83, 83,
 -51, -28, 95, 111,
 -35, -12, 54, 65,
 3, 14, 13, 19,
 25, 8, -27, 37,
 -56, -38, 41, 79,
 -83, -8, 93, 124,
 7, -10, 37, 38,
 80, 52, -78, 123,
 145, 71, -96, 187,
 46, -40, -68, 91,
 -112, -193, 103, 245,
 -194, -99, 155, 267,
 -77, 90, -14, 119,
 110, 164, -119, 230,
 109, 75, -175, 219,
 23, -63, -14, 68,
 -86, -70, 89, 142,
 -40, 9, 25, 48,
 15, 27, -48, 57,
 44, 0, -103, 112,
 39, -27, -75, 88,
 -27, -11, 10, 30,
 -22, 31, 16, 41,
 12, 31, 29, 44,
 6, 15, 5, 16,
 0, -8, -5, 9,
 0, -24, 9, 25,
 2, -8, 75, 75,
 -29, 0, 113, 116,
 -21, 46, 92, 104,
 -59, 61, 43, 95,
 -40, 69, -90, 120,
 47, -27, -125, 136,
 89, -39, -39, 104,
 12, 8, 71, 72,
 -116, 12, 51, 127,
 -58, -26, -14, 65,
 34, -9, -25, 43,
 78, 43, -32, 94,
 57, 60, 6, 82,
 12, 35, -35, 50,
 -14, -66, -81, 105,
 27, -39, -22, 52,
 27, 17, 29, 43,
 6, -4, 0, 7,
 2, -23, -47, 52,
 21, -16, -33, 42,
 13, 11, 65, 67,
 -20, -4, 121, 122,
 -41, 37, 77, 94,
 -31, 39, 33, 59,
 -5, -14, -50, 52,
 -14, -23, -29, 39,
 -47, -26, 20, 57,
 -25, -33, 0, 41,
 48, 25, 3, 54,
 77, 71, -33, 109,
 41, 69, 11, 81,
 -83, -88, 25, 123,
 -90, -57, -3, 106,
 -2, -5, -25, 25,
 33, 35, -27, 55,
 19, 26, 0, 32,
 28, -9, -25, 38,
 4, -23, -31, 38,
 15, -19, -53, 58,
 7, 50, -96, 108,
 52, -21, -51, 75,
 1, -31, -15, 34,
 -12, 4, 41, 42,
 -10, 6, 25, 27,
 1, 18, -15, 23,
 7, -2, -28, 28,
 -2, 8, -23, 24,
 37, 37, 11, 53,
 44, 34, 50, 74,
 8, -25, 147, 149,
 -128, -46, 148, 201,
 -124, -43, 39, 136,
 39, 27, -31, 56,
 6, 71, -17, 73,
 -68, 15, 101, 122,
 -99, -10, -19, 101,
 -55, -24, -98, 114,
 60, -10, -147, 159,
 102, 26, -64, 123,
 -17, -45, 35, 59,
 -53, -71, 10, 89,
 -50, -45, -40, 78,
 -14, -25, -44, 52,
 41, 24, -7, 48,
 87, 66, 28, 112,
 70, 47, 14, 85,
 -10, 2, 2, 10,
 -56, -22, 29, 66,
 -42, -15, 42, 61,
 0, 24, 54, 59,
 -13, 60, 26, 66,
 4, 29, 31, 42,
 -8, -21, 47, 52,
 -29, -9, 64, 70,
 -25, 0, -53, 58,
 57, 4, -80, 98,
 89, -13, -62, 109,
 -12, -43, 2, 44,
 -66, -30, 52, 89,
 -65, -23, 6, 69,
 -8, -5, -60, 60,
 80, 28, -53, 99,
 33, -4, -6, 33,
 -37, -21, 48, 64,
 -42, -52, 48, 82,
 11, 4, -54, 55,
 51, 35, -80, 101,
 60, 0, -32, 68,
 13, -29, -18, 36,
 -38, -16, 21, 46,
 -8, 6, 9, 13,
 -19, 15, 14, 27,
 -10, 4, 15, 18,
 31, -19, -20, 41,
 17, -17, 4, 24,
 -2, 26, 86, 89,
 -30, 31, 47, 63,
 -47, 27, 53, 75,
 -21, 21, 31, 42,
 -14, -1, -44, 46,
 9, -69, -43, 81,
 4, -42, -18, 45,
 -40, -6, 28, 49,
 -53, -2, 72, 89,
 -21, -16, 8, 27,
 50, -35, -77, 98,
 109, 17, -69, 130,
 58, 44, -41, 83,
 10, 3, -60, 60,
 -14, -49, -41, 65,
 -42, -53, 2, 67,
 -26, -45, 17, 54,
 -39, 10, 49, 63,
 -24, 27, 63, 72,
 -13, 32, 14, 37,
 41, 27, -27, 56,
 -11, -2, -13, 17,
 -27, -8, 25, 37,
 -2, 5, 20, 20,
 -11, 21, 21, 31,
 -2, 31, 51, 59,
 -1, 33, 71, 78,
 0, 13, 99, 99,
 -20, 12, -5, 23,
 45, -8, -61, 76,
 49, 4, -44, 65,
 -23, -51, 0, 55,
 -25, -44, 59, 77,
