 0, 25, -48,
 6, -106, 144,
 -203, 27, 392,
 139, -66, 252,
 50, -35, 62,
 -14, 0, -252,
 14, 13, -222,
 6, 27, -135,
 14, 23, -139,
 -12, 21, -63,
 -10, -28, 5,
 -112, -31, 274,
 60, -48, 298,
 16, 13, -91,
 6, -9, -3,
 -45, 10, 270,
 -30, 66, 316,
 -6, -64, 81,
 8, -27, -179,
 2, 4, -221,
 -9, 38, -160,
 6, 31, -132,
 23, 11, -72,
 19, -39, 56,
 -64, 29, 199,
 -27, 3, 373,
 54, 21, 216,
 27, -46, -214,
 27, -10, -298,
 -31, 36, -195,
 16, 34, -123,
 2, 14, -71,
 47, -68, 28,
 -32, -5, 286,
 -50, 54, 111,
 -36, -57, 211,
 0, -19, -97,
 44, -19, -225,
 18, 12, -161,
 -8, 47, -110,
 23, 1, -52,
 12, -7, -8,
 2, -39, 177,
 15, 5, 69,
 21, -36, 227,
 -4, 20, -80,
 48, 4, -193,
 -10, 37, -166,
 -3, -2, -115,
 6, 8, -84,
 -3, 6, -37,
 6, -29, 97,
 10, 7, 200,
 2, -11, 205,
 21, -80, 165,
 0, 2, -172,
 -29, 51, -172,
 14, 12, -149,
 32, 0, -64,
 19, -9, -61,
 -6, -32, 74,
 -74, 43, 174,
 6, 41, 271,
 -47, -59, 117,
 2, -4, -93,
 -21, 9, -168,
 -51, 54, -127,
 47, 15, -127,
 12, 15, -57,
 8, -13, -34,
 -47, 0, 163,
 -29, 9, 185,
 27, -137, 322,
 35, -23, -79,
 10, 23, -150,
 -35, 39, -143,
 -14, 26, -107,
 3, 34, -120,
 39, -28, -27,
 -63, -17, 188,
 33, -56, 193,
 24, 49, 289,
 -98, 17, 138,
 64, -17, -300,
 -8, 56, -184,
 6, 47, -194,
 4, 50, -58,
 29, -27, -32,
 -83, -6, 232,
 6, -21, 136,
 7, -790, 291,
 -103, 8, 189,
 50, -10, -249,
 4, 31, -122,
 20, 33, -166,
 -4, 40, -110,
 -9, 13, -21,
 -66, -22, 215,
 0, -61, 165,
 73, -98, 154,
 -24, 81, 182,
 12, -37, -120,
 33, -21, -176,
 -14, 25, -178,
 12, 58, -124,
 -2, 21, -43,
 2, 11, -9,
 3, -84, 100,
 -28, -54, 151,
 -8, -64, 256,
 -26, 45, 49,
 67, -38, -144,
 25, 2, -162,
 -29, 58, -114,
 2, 31, -109,
 15, 27, -68,
 36, -15, -48,
 -9, -38, 123,
 -83, 37, 150,
 -187, 133, 122,
 -90, -4, 122,
 52, -27, -248,
 -16, 23, -140,
 -25, 63, -157,
 25, 32, -154,
 15, 27, -41,
 -6, -6, 16,
 -31, -12, 283,
 53, -81, 199,
 -36, 14, 117,
 -50, -21, 110,
 -25, 15, 105,
 37, -109, 139,
 -1, 41, 211,
 32, 15, -75,
 71, -34, -194,
 -11, 41, -137,
 -4, 41, -102,
 13, 12, -84,
 10, -40, -21,
 -77, -10, 171,
 -16, -45, 263,
 116, -35, 70,
 29, 5, -68,
 33, 9, -139,
 -7, 35, -112,

