 -164, 17, 119, 203,
 16, -104, 13, 106,
 118, -85, -468, 490,
 147, -211, 319, 409,
 -14, -40, 525, 526,
 -326, 307, 275, 525,
 118, 136, -74, 194,
 153, -226, -635, 691,
 179, -259, -415, 520,
 278, 206, 214, 406,
 120, 315, 218, 401,
 -172, -15, 28, 174,
 -425, -279, -209, 549,
 -201, -230, -353, 466,
 124, -17, -89, 153,
 -142, 130, 145, 241,
 -49, -266, 167, 317,
 -369, 168, 610, 732,
 -151, -68, -61, 176,
 152, -191, -788, 824,
 239, 23, -590, 636,
 59, 73, -186, 208,
 3, 15, -111, 112,
 -126, -189, 29, 228,
 -235, -135, -122, 297,
 -10, -89, -87, 124,
 151, -144, -36, 211,
 -15, -86, 315, 326,
 -178, 232, -19, 293,
 483, -85, 172, 519,
 -269, 193, 113, 349,
 -308, 135, -276, 435,
 -125, 20, -440, 457,
 -5, 143, -139, 199,
 87, -41, -106, 143,
 -147, -213, -87, 273,
 -163, -320, 30, 360,
 -5, -213, -190, 285,
 66, 462, -78, 473,
 131, 216, 381, 457,
 136, 85, -55, 169,
 302, -350, -84, 469,
 85, -474, 330, 583,
 -391, 176, 306, 526,
 -107, 215, 54, 246,
 98, 128, -551, 574,
 344, -144, -721, 811,
 -9, -149, -401, 427,
 -27, -175, 60, 186,
 -267, 389, 366, 597,
 77, 266, 748, 797,
 -99, -398, -276, 494,
 8, -543, -288, 614,
 81, 60, 52, 113,
 67, 616, 639, 890,
 -64, -582, 42, 587,
 160, -145, 103, 239,
 -181, 606, -120, 643,
 -138, 441, -333, 569,
 4, -128, -449, 466,
 -144, -267, -350, 463,
 -116, -113, -134, 210,
 153, 156, 78, 232,
 87, 51, 87, 133,
 15, 201, 288, 351,
 -123, 353, 305, 482,
 -122, 11, 136, 183,
 328, -58, -121, 354,
 331, -526, -501, 798,
 138, -683, 257, 742,
 -370, 505, 659, 908,
 -310, 595, 803, 1046,
 15, -61, -108, 124,
 165, -393, -875, 973,
 126, -370, -448, 594,
 153, -271, 184, 361,
 -140, 369, 78, 402,
 3, 526, 196, 561,
 -50, -271, -294, 402,
 0, 432, 588, 729,
 1, 879, 8, 879,
 102, -435, 164, 475,
 131, -590, -81, 609,
 -271, 79, -64, 289,
 -221, 564, -158, 626,
 189, 149, -102, 261,
 110, -73, -148, 198,
 -129, -159, -261, 331,
 85, -161, 84, 200,
 -70, 222, -165, 285,
 34, -47, -309, 314,
 99, -249, -234, 355,
 236, -130, -245, 364,
 64, -85, 409, 422,
 -23, 197, 518, 554,
 -459, 360, 437, 728,
 -147, -178, 135, 267,
 263, -413, -622, 791,
 341, -364, -528, 726,
 -8, 485, -188, 520,
 124, 659, 495, 833,
 -90, -93, 334, 358,
 -332, -336, -266, 542,
 -240, -184, -481, 568,
 302, -101, -55, 323,
 -84, 208, 432, 486,
 -421, 114, 478, 647,
 -29, 32, -115, 122,
 166, -109, 248, 317,
 -79, 256, -49, 272,
 -205, 199, -491, 568,
 14, -97, -278, 294,
 -79, -216, -18, 230,
 -108, -287, -54, 311,
 125, -95, -289, 328,
 389, 487, -140, 638,
 -165, 271, 493, 586,
 -340, 0, 609, 697,
 -146, -85, 61, 179,
 195, 0, -249, 316,
 343, -150, -353, 514,
 334, -479, 423, 721,
 -274, 250, 393, 540,
 -217, 184, 288, 404,
 -57, -104, -329, 349,
 -133, 47, 17, 142,
 -60, 441, 411, 605,
 336, 129, 175, 400,
 -45, -307, -333, 455,
 -352, -155, 15, 384,
 -89, -4, 283, 296,
 181, -41, 326, 375,
 0, 641, -147, 657,
 66, -100, 335, 355,
 238, -308, -90, 399,
 -309, -79, 36, 320,
 -412, 74, -164, 449,
 81, 100, -338, 361,
 68, 177, -30, 191,
 18, -190, -99, 215,
 87, -165, -164, 248,
 -106, 357, 470, 599,
 -112, 512, 504, 727,
 62, 9, -164, 175,
 -10, -436, -341, 553,
 182, -420, -358, 581,
 405, -266, 241, 541,
 -228, 262, 515, 621,
 -377, 85, 390, 549,
 -78, 76, -166, 198,
 88, -214, -526, 574,
 221, -148, -374, 458,
 369, 233, -162, 465,
 278, 5, 101, 295,
 -268, 437, 242, 566,
 52, -338, 222, 407,
 -208, -259, 126, 355,
 -97, 65, 364, 382,
 85, 594, -11, 600,
 192, -66, 9, 203,
 93, -296, -236, 389,
 -120, -139, -8, 183,
 -168, 37, -199, 263,
 142, 13, -353, 380,
 58, 188, 11, 197,
 5, 157, 210, 262,
 59, -48, 195, 209,
 124, -188, -85, 240,
 -285, 27, -208, 353,
 -228, 102, 308, 396,
 -165, 147, 304, 375,
 -11, 85, 0, 85,
 228, 103, -480, 541,
 374, -461, 3, 593,
 -133, -77, 403, 431,
 -482, 407, 411, 752,
 171, 81, -236, 302,
c -465, -66, -209, 514,
 51, 176, -344, 389,
 319, 441, -178, 572,
 105, 98, 25, 145,
 -283, -134, 139, 342,
 -243, -252, 270, 442,
 -115, -27, -95, 151,
 -101, 340, 434, 560,
 -25, 453, 489, 667,
 67, 138, -79, 172,
 6, -347, -296, 456,
 -108, -295, -343, 465,
 118, 225, -391, 466,
 394, 228, -473, 656,
 464, 146, -226, 536,
 -271, 306, -32, 410,
 -78, 134, 256, 299,
 -203, -96, 255, 339,
 -328, -235, -5, 403,
 -173, -257, -38, 312,
 38, 17, 21, 46,
 83, 186, -22, 204,
 52, 129, -165, 215,
 23, -37, -196, 200,
 15, -207, -21, 208,
 -145, -56, 89, 179,
 8, 193, 197, 275,
 26, -134, -103, 171,
 -55, 89, 50, 115,
 105, 115, 49, 163,
 174, 19, -56, 183,
 251, -94, 27, 269,
 126, 150, 226, 299,
 19, 142, 152, 208,
 -217, -47, 107, 246,
 -15, -354, 153, 385,
 -56, -49, 77, 107,
 -83, 49, -82, 126,
 118, 117, -34, 169,
 54, 73, -216, 234,
 -8, 50, -247, 252,
 52, -109, -108, 162,
 27, -122, -21, 126,
 26, 54, -10, 60,
 26, 0, -4, 26,
 21, -104, 24, 108,
 11, -114, 60, 129,
 -46, -89, 33, 105,
 -7, -6, -2, 9,
 27, 40, -54, 72,
 18, 59, -1, 61,
 17, 19, -15, 29,
 13, 5, -13, 19,
 -8, -19, -14, 24,
 -23, -8, 21, 32,
 -9, -9, 19, 22,
 -11, -17, 15, 25,
 22, 1, -26, 34,

