 -9, -4, -5,
 -9, -2, 2,
 -10, -2, -8,
 -2, 0, -10,
 12, -5, 0,
 1, 8, 0,
 -14, -9, -5,
 -4, 3, -2,
 -7, 2, 7,
 7, -4, 6,
 -3, 6, -4,
 7, -2, -10,
 2, 2, -12,
 -4, 7, -5,
 2, -4, -3,
 -10, -1, 9,
 -3, -1, -2,
 -5, 6, 13,
 -2, -4, 10,
 -4, -2, -6,
 -4, -13, -3,
 2, 4, -4,
 -4, -9, 2,
 -4, 7, -5,
 1, -6, 5,
 -1, 7, -1,
 -2, -11, 4,
 -6, -6, -5,
 0, -8, -8,
 -3, 3, 2,
 -6, -10, -12,
 2, 8, 3,
 4, 0, 1,
 -4, 6, -2,
 -6, -6, 2,
 3, -6, 2,
 4, 3, -1,
 -2, -6, 0,
 5, 4, -15,
 -6, 4, -11,
 2, -4, -13,
 -4, -7, -7,
 11, 4, -16,
 1, 7, -5,
 2, -2, 6,
 2, -4, 0,
 0, 4, -10,
 -6, 4, 2,
 -2, 1, -11,
 0, 0, 5,
 5, -10, -2,
 -2, 7, -9,
 -8, 0, 0,
 -5, 7, -5,
 5, -4, 15,
 -10, -3, 3,
 -4, 0, 4,
 -2, 0, -4,
 0, -4, 0,
 9, -2, 0,
 0, -6, -1,
 -4, -6, 1,
 1, 4, -8,
 -2, -4, 6,
 -3, 8, -2,
 3, 5, 4,
 -4, -4, -6,
 3, -4, 6,
 -8, -4, -17,
 -1, 2, -5,
 5, 1, -2,
 -7, -2, 11,
 2, -6, -12,
 -4, -2, -2,
 3, 2, 3,
 3, 4, 0,
 5, -2, 0,
 -2, -4, 2,
 11, 1, 3,
 -2, 1, 8,
 2, 10, 2,
 -4, -2, -7,
 0, -4, 2,
 -4, 4, 2,
 -12, 4, -9,
 6, -2, 6,
 1, -4, 6,
 -6, 2, 10,
 -2, 0, 1,
 2, -6, 6,
 -2, 8, -13,
 -4, 0, -9,
 0, 13, -8,
 -4, -2, -2,
 0, -3, -3,
 -7, 5, -2,
 2, 0, -4,
 -2, 6, -10,
 0, 7, -11,
 11, 4, 7,
 3, 12, 4,
 -10, -3, 14,
 -2, 1, 4,
 0, 12, -9,
 -2, -2, 0,
 0, -10, -14,
 -1, -4, 6,
 -4, 2, 1,
 13, 16, 4,
 0, -10, -1,
 -4, -6, 6,
 -4, -4, 2,
 2, -9, -12,
 -10, 2, 2,
 0, 5, -3,
 -4, 6, -9,
 4, -4, 6,
 -3, -8, -2,
 -2, 2, 10,
 -10, 0, -6,
 -2, -4, 6,
 5, -6, -12,
 -6, -2, -1,
 -4, -10, -11,
 2, 2, -4,
 -7, -2, 9,
 0, -10, -2,
 3, 4, 10,
 -2, -4, -10,
 1, -10, 8,
 -8, 10, -9,
 -6, -4, 2,
 0, -10, 4,
 -10, 0, -1,
 4, -5, 0,
 0, -8, -8,
 -6, 0, 2,
 11, 0, 6,
 -4, 4, 0,
 -9, -4, 1,
 0, -5, 9,
 -6, -13, -12,
 2, -2, 2,
 -2, -8, -19,
 -6, 1, -7,
 -11, -4, -6,
 8, 3, -15,
 4, 3, -5,
 -1, -6, -3,
 5, -14, 0,
 6, -7, 9,
 6, 3, -2,
 1, -6, -17,
 -5, -11, -11,
 7, -2, 11,
 -11, -3, 0,
 3, 6, -2,
 14, -1, -3,
 0, -2, 5,
 0, -12, 14,
 -2, -2, -18,
 -8, -4, 3,
 4, 9, -9,
 12, -8, 2,
 3, -9, 2,
 -5, -6, -2,
 -9, 12, -3,
 -1, -10, -10,
 2, -1, -2,
 -3, 8, -3,
 4, 0, 1,
 9, 3, -7,
 0, -5, -1,
 3, 7, 19,
 -3, -5, -7,
 -2, -13, -2,
 -4, -12, -5,
 3, 0, 6,
 -2, 6, -5,
 -11, 6, -2,
 0, 0, -7,
 -10, 0, -7,
 -2, -1, -1,
 0, -1, -4,
 -4, 2, 2,
 -4, 4, -6,
 -12, 7, 2,
 -4, -4, -2,
 -6, 9, -6,
 3, 2, 1,
 1, 4, -4,
 -5, 7, -10,
 -4, 2, -1,
 -5, -6, -2,
 10, -6, -9,
